retriever,retrieval_score,context_precision,context_recall,context_entity_recall,context_utilization,latency,avg_docs,score_rank,speed_rank,efficiency_rank
Ensemble,0.797579848651659,0.7031703108408832,0.9166666666666666,0.5869318170606334,0.7541416504900987,6.869649350643158,17.25,1.0,6.0,4.0
Contextual Compression,0.7971081186581783,0.7483283729803447,0.7916666666666666,0.5404040394334921,0.9146541949806831,8.04094390074412,10.0,2.0,7.0,6.0
BM25,0.7869617317034105,0.7530677200936539,0.8055555555555555,0.6049242412831496,0.7740060993196907,6.4606143434842425,10.0,3.0,4.0,2.0
Semantic Chunking,0.7753515917993763,0.661136621288108,0.9027777777777778,0.5999999985462121,0.7041465891763963,5.130520085493724,10.0,4.0,1.0,1.0
Parent Document,0.74538194429419,0.7722222221739815,0.6180555555555555,0.5194444435439184,0.8031249999688455,6.288615047931671,4.75,5.0,3.0,3.0
Naive Retrieval,0.7425146993263207,0.6647652116070989,0.7708333333333334,0.4987373726279365,0.7963779053035552,6.610283553600311,10.0,6.0,5.0,5.0
Multi-Query,0.7379520702736043,0.5957249077838537,0.7916666666666666,0.5834710730860319,0.7441684903140282,9.15152245759964,12.416666666666666,7.0,8.0,8.0
Parent-Child Advanced,0.4348973715774251,0.3592847694425246,0.5924242424242424,0.23263888843605326,0.4228261867865862,5.232290645440419,10.0,8.0,2.0,7.0
