retriever,retrieval_score,latency,avg_docs,cost,context_precision,context_recall,context_relevance,context_entity_recall,context_utilization,semantic_similarity
Naive Retrieval,0.7425146993263207,6.610283553600311,10.0,0.2388152,0.6647652116070989,0.7708333333333334,0.9166666666666666,0.4987373726279365,0.7963779053035552,0.8100141231317403
BM25,0.7869617317034105,6.4606143434842425,10.0,0.24624080000000015,0.7530677200936539,0.8055555555555555,0.9166666666666666,0.6049242412831496,0.7740060993196907,0.8418143246017781
Contextual Compression,0.7971081186581783,8.04094390074412,10.0,0.23632440000000002,0.7483283729803447,0.7916666666666666,0.9583333333333334,0.5404040394334921,0.9146541949806831,0.8069380762042023
Multi-Query,0.7379520702736043,9.15152245759964,12.416666666666666,0.2934463999999999,0.5957249077838537,0.7916666666666666,0.9166666666666666,0.5834710730860319,0.7441684903140282,0.8306168665312645
Parent Document,0.74538194429419,6.288615047931671,4.75,0.09961120000000005,0.7722222221739815,0.6180555555555555,0.9583333333333334,0.5194444435439184,0.8031249999688455,0.8231765856423189
Ensemble,0.797579848651659,6.869649350643158,17.25,0.4055219999999998,0.7031703108408832,0.9166666666666666,0.9166666666666666,0.5869318170606334,0.7541416504900987,0.8385988010833704
Semantic Chunking,0.7753515917993763,5.130520085493724,10.0,0.17033119999999988,0.661136621288108,0.9027777777777778,0.8958333333333334,0.5999999985462121,0.7041465891763963,0.8434219255338906
Parent-Child Advanced,0.4348973715774251,5.232290645440419,10.0,0.26813800000000004,0.3592847694425246,0.5924242424242424,0.4791666666666667,0.23263888843605326,0.4228261867865862,0.7714060768422769
