retriever,answer_relevancy,faithfulness,semantic_similarity,latency,avg_contexts,generation_score
Ensemble,0.9385572415941855,0.9956140350877193,0.941680300657964,7.9402530392011,17.166666666666668,0.9586171924466229
Naive Retrieval,0.944800956996216,0.9830865817091454,0.9345939039047427,7.0134207010269165,10.0,0.9541604808700347
Multi-Query,0.9455270917075712,0.9798004850088183,0.9350057471730929,9.305175205071768,12.583333333333334,0.9534444412964942
Parent Document,0.9417220244077963,0.9597619047619048,0.9385406597235378,5.181399325529735,4.75,0.9466748629644129
BM25,0.933577465385218,0.9664351851851851,0.9392395912671748,5.787694315115611,10.0,0.9464174139458593
Contextual Compression,0.9432019056234612,0.958160387398893,0.9332717880729186,8.417572617530823,10.0,0.9448780270317575
Semantic Chunking,0.8611759802510085,0.9273182957393483,0.9411638335074035,5.131955703099568,10.0,0.9098860364992535
Parent-Child Advanced,0.9560558130354043,0.7068452380952381,0.9284323509743158,6.19284172852834,10.0,0.8637778007016528
